[1]陈丹丹,徐帆洪,高丹. 表达NY-ESO-1重组耻垢分枝杆菌的制备及应用[P]. 上海：CN102839186A,2012-12-26.

[461]A.莱维茨基,A.席尔. 用于全身性癌症治疗的EGFR导航双链RNA载体[P]. 以色列：CN102325794A,2012-01-18.

[462]E·T·马乔. 用于给药的组合物[P]. 美国：CN102325450A,2012-01-18.

[463]乔纳森·B·贝尔,金·西恩·布伊,彼得·科尔曼,达内特·A·达德利,韦恩·J·费尔布罗瑟,约翰·A·弗莱加尔,纪劳姆·L·莱塞尼,查迪·杜巴库,乔治·尼克拉科普罗斯,卡尔·史蒂文·拉伊,布拉德·E·斯利布斯,布赖恩·J·史密斯,K·G·沃特森,S·W·艾尔摩尔,A·M·佩特洛斯,A·J·索尔斯,彼得·扎博塔尔. 化合物和使用方法[P]. 美国：CN102325531A,2012-01-18.

[464]张典瑞,王飞虎,陈瑀璇,刘悦,段存贤,贾乐姣,刘光璞. 叶酸修饰的O-羧甲基壳聚糖-脱氧胆酸复合物及其制备方法与应用[P]. 山东：CN102319436A,2012-01-18.

[465]马克·G·P·塞佛,艾雷沙·L·马丁纳,艾尔·D·威廉斯,梅瑞·R·歇尔曼. 具有增强的生物学效用的干扰素-β的聚合物缀合物[P]. 美国：CN102319437A,2012-01-18.

[466]辻浩和,野本康二,森山熏,赤座英之. 雌马酚产生菌及其利用[P]. 日本：CN102317435A,2012-01-11.

[467]A·E·苏顿,T·E·理查德森,B·R·胡克,S·R·卡拉,X·陈,Y·肖,A·古托波罗斯,R·蓝,D·佩雷,H·G·范迪维尔,L·刘-布亚尔斯基,F·施蒂贝尔,B·L·霍道斯,邱晖,R·C·琼斯,B·希斯利. 新氨基氮杂杂环甲酰胺类[P]. 德国：CN102317269A,2012-01-11.

[468]奇·B·武. 作为沉默调节蛋白调节剂的酞嗪酮和相关的类似物[P]. 美国：CN102317284A,2012-01-11.

[469]S·王,J·陈,Y·赵,C·戈麦斯,L·白,Z·尼科洛夫斯卡-科尔斯卡. STAT3抑制剂及使用STAT3抑制剂的治疗方法[P]. 美国：CN102317290A,2012-01-11.

[470]J·拉皮耶,Y·刘,M·坦顿,M·A·阿什威尔. RAF抑制剂及其用途[P]. 美国：CN102317293A,2012-01-11.

[471]民刚·陈. 1型核糖体失活蛋白的制备和应用[P]. 美国：CN102317313A,2012-01-11.

[472]乔纳森·B·贝尔,金·西恩·布伊,彼得·科尔曼,彼得·扎博塔尔,达内特·A·达德利,韦恩·J·费尔布罗瑟,约翰·A·弗莱加尔,纪劳姆·L·莱塞尼,查迪·杜巴库,乔治·尼克拉科普罗斯,布拉德·E·斯利布斯,布赖恩·J·史密斯,K·G·沃特森,S·W·艾尔摩尔,L·A·哈斯沃尔德,A·M·佩特洛斯,A·J·索尔斯,Z·陶,L·王,X·王,库尔特·德赛. 杂环化合物和使用方法[P]. 美国：CN102316733A,2012-01-11.

[473]P·克劳克齐克,J·A·阿特恩,R·卡纳尔,J·埃泽尔斯. 治疗癌症的方法[P]. 荷兰：CN102316869A,2012-01-11.

[474]M·R·坎宁安,B·斯温基-昂德伍德,Y·唐,L·颜. 抗CD147抗体、方法和用途[P]. 美国：CN102316898A,2012-01-11.

[475]A·L·马洛,E·华莱士,徐廷法,J·P·利西卡图斯,杨鸿云,J·布莱克,R·A·斯托里,R·J·布思,J·D·皮泰姆,J·伦纳德,M·R·菲尔丁. MEK的杂环抑制剂及其使用方法[P]. 美国：CN102304086A,2012-01-04.

[476]C·B·武,L·麦克弗森,吴佩仪,C·布卢姆. 作为沉默调节蛋白调节剂的异吲哚啉酮和相关的类似物[P]. 美国：CN102307871A,2012-01-04.

[477]M.布伦科,H.丁,G.A.多赫蒂,S.W.埃尔莫尔,L.哈斯沃尔德,L.赫克萨默,A.R.孔策尔,R.A.曼泰,W.J.麦克莱兰,C.H.朴,C.朴,A.M.佩特罗斯,X.宋,A.J.索尔斯,G.M.萨利文,Z.陶,G.T.王,L.王,X.王,M.D.温德特. 作为用于治疗癌症和免疫疾病的BCL-2-选择性诱发细胞凋亡药剂的磺酰胺衍生物[P]. 美国：CN102307872A,2012-01-04.

[478]李靖,孟坤. 治疗雌激素受体相关疾病的抗体及方法[P]. 香港：CN102307595A,2012-01-04.

[479]葛辉. 筛选治疗或预防癌症的药物的方法[P]. 江苏：CN102305864A,2012-01-04.

[480]张春玲,魏秀莉,黄峰,曾文峰,金凌涛,梁伟. 黄酮类小分子药物在抗炎及相关疾病中的应用[P]. 北京：CN102302483A,2012-01-04.

[481]J·B·泽尔迪斯. 使用4-(氨基)-2-(2,6-二氧代(3-(哌啶基))-异二氢吲哚-1,3-二酮用于治疗和控制淀粉样病变的方法及组合物[P]. 美国：CN102302494A,2012-01-04.

